Documentation: https://diysolarforum.com/resources/solis-grid-tied-inverters-2018-rs485-modbus-communication-protocol.272/download

Registers may vary depending on the model of the inverter. THe following is for a Solis single-phase, 3-MPPT 7.6kW Solis 4G Series B2 inverter.


Register: 03064         Value: 00000000 (0x0000)              - RESERVED
Register: 03065         Value: 00000002 (0x0002)              - SETTING FLAG
Register: 03066         Value: 00000000 (0x0000)              - FAULT CODE 01
Register: 03067         Value: 00000000 (0x0000)              - FAULT CODE 02
Register: 03068         Value: 00000000 (0x0000)              - FAULT CODE 03
Register: 03069         Value: 00000000 (0x0000)              - FAULT CODE 04
Register: 03070         Value: 00000000 (0x0000)              - FAULT CODE 05
Register: 03071         Value: 00000001 (0x0001)              - WORKING STATUS
Register: 03072         Value: 00000023 (0x0017)              - CLOCK YEAR
Register: 03073         Value: 00000003 (0x0003)              - CLOCK MONTH
Register: 03074         Value: 00000026 (0x001a)              - CLOCK DAY
Register: 03075         Value: 00000015 (0x000f)              - CLOCK HOUR (24H)
Register: 03076         Value: 00000056 (0x0038)              - CLOCK MINUTE
Register: 03077         Value: 00000021 (0x0015)              - CLOCK SECOND
Register: 03078         Value: 00000000 (0x0000)              - RESERVED
Register: 03079         Value: 00000000 (0x0000)              - METER GENERATION (1 Wh)
Register: 03080         Value: 00000000 (0x0000)              - METER GENERATION (1 Wh)
Register: 03081         Value: 00000000 (0x0000)              - METER VOLTAGE (1 V)
Register: 03082         Value: 00000000 (0x0000)              - METER CURRENT (1 A)
Register: 03083         Value: 00000000 (0x0000)              - METER ACTIVE POWER (1 W)
Register: 03084         Value: 00000000 (0x0000)              - METER ACTIVE POWER (1 W)
Register: 03085         Value: 00000240 (0x00f0)              - LEAKED CURRENT THRESHOLD (1 mA)
